id,name,type,mana_cost,attack,max_hp,keywords,description
"1","cards.faction_1_unit_argeon_name","Unit","0","2","25","","cards.faction_1_unit_argeon_desc"
"8","cards.faction_1_unit_lysian_brawler_name","Unit","4","4","4","ModifierTranscendance","cards.faction_1_unit_lysian_brawler_desc"
"9","cards.faction_1_unit_windblade_adept_name","Unit","2","2","3","ModifierBandingAttack","cards.faction_1_unit_windblade_adept_desc"
"10","cards.faction_1_unit_sunstone_templar_name","Unit","2","1","4","","cards.faction_1_unit_sunstone_templar_desc"
"11","cards.faction_1_unit_silverguard_knight_name","Unit","3","1","5","ModifierProvoke|ModifierBandingAttack","cards.faction_1_unit_silverguard_knight_desc"
"12","cards.faction_1_unit_arclyte_sentinel_name","Unit","3","2","4","ModifierOpeningGambit","cards.faction_1_unit_arclyte_sentinel_desc"
"13","cards.faction_1_unit_second_sun_name","Unit","5","0","8","ModifierBandingAttack","cards.faction_1_unit_second_sun_desc"
"14","cards.faction_1_unit_silverguard_squire_name","Unit","1","1","4","",""
"15","cards.faction_1_unit_lightchaser_name","Unit","2","3","2","","cards.faction_1_unit_lightchaser_desc"
"16","cards.faction_1_unit_suntide_maiden_name","Unit","4","3","6","ModifierBandingHeal","cards.faction_1_unit_suntide_maiden_desc"
"17","cards.faction_1_unit_ironcliffe_guardian_name","Unit","5","3","10","ModifierAirdrop|ModifierProvoke","cards.faction_1_unit_ironcliffe_guardian_desc"
"18","cards.faction_1_unit_elyx_name","Unit","6","7","7","ModifierProvoke","cards.faction_1_unit_elyx_desc"
"20","cards.faction_1_unit_grandmaster_zir_name","Unit","7","5","12","","cards.faction_1_unit_grandmaster_zir_desc"
"21","cards.faction_1_unit_azurite_lion_name","Unit","2","2","3","ModifierTranscendance","cards.faction_1_unit_azurite_lion_desc"
"22","cards.faction_1_unit_sunriser_name","Unit","4","3","4","","cards.faction_1_unit_sunriser_desc"
"23","cards.faction_1_unit_ziran_name","Unit","0","2","25","","cards.faction_1_unit_ziran_desc"
"24","cards.faction_1_unit_sun_sister_name","Unit","4","4","4","","cards.faction_1_unit_sun_sister_desc"
"25","cards.faction_1_unit_fiz_name","Unit","2","3","3","ModifierOpeningGambit|ModifierBattlePet","cards.faction_1_unit_fiz_desc"
"26","cards.faction_1_unit_slo_name","Unit","1","1","4","ModifierBattlePet|ModifierProvoke","cards.faction_1_unit_slo_desc"
"27","cards.faction_1_unit_sun_wisp_name","Unit","2","2","1","ModifierOpeningGambitDrawCard","cards.faction_1_unit_sun_wisp_desc"
"28","cards.faction_1_unit_radiant_dragoon_name","Unit","3","3","4","","cards.faction_1_unit_radiant_dragoon_desc"
"29","cards.faction_1_unit_sunforge_lancer_name","Unit","3","2","4","","cards.faction_1_unit_sunforge_lancer_desc"
"30","cards.faction_1_unit_solarius_name","Unit","5","3","2","ModifierBandingChangeCardDraw","cards.faction_1_unit_solarius_desc"
"31","cards.faction_1_unit_sunbreaker_name","Unit","4","2","4","ModifierForcefield","cards.faction_1_unit_sunbreaker_desc"
"32","cards.faction_1_unit_scintilla_name","Unit","3","3","4","ModifierSynergizeHealMyGeneral","cards.faction_1_unit_scintilla_desc"
"33","cards.faction_1_unit_excelsious_name","Unit","8","6","6","ModifierProvoke|ModifierTranscendance","cards.faction_1_unit_excelsious_desc"
"34","cards.faction_1_unit_warblade_name","Unit","2","1","4","ModifierBondApplyModifiers","cards.faction_1_unit_warblade_desc"
"35","cards.faction_1_unit_sol_pontiff_name","Unit","3","1","4","ModifierBandingApplyModifiers","cards.faction_1_unit_sol_pontiff_desc"
"36","cards.faction_1_unit_peacekeeper_name","Unit","7","6","6","ModifierFrenzy|ModifierForcefield|ModifierAirdrop|ModifierTranscendance|ModifierProvoke","cards.faction_1_unit_peacekeeper_desc"
"37","cards.faction_1_unit_pureblade_enforcer_name","Unit","2","1","3","","cards.faction_1_unit_pureblade_enforcer_desc"
"38","cards.faction_1_unit_sunrise_cleric_name","Unit","1","1","3","ModifierHallowedGround|ModifierOpeningGambit","cards.faction_1_unit_sunrise_cleric_desc"
"39","cards.faction_1_unit_solpiercer_name","Unit","4","3","4","ModifierRanged|ModifierBandingRanged","cards.faction_1_unit_solpiercer_desc"
"40","cards.faction_1_unit_auroara_name","Unit","3","1","5","","cards.faction_1_unit_auroara_desc"
"41","cards.faction_1_unit_war_judicator_name","Unit","4","4","5","","cards.faction_1_unit_war_judicator_desc"
"42","cards.faction_1_unit_alabaster_titan_name","Unit","7","5","7","ModifierOpeningGambitAlabasterTitan","cards.faction_1_unit_alabaster_titan_desc"
"43","cards.faction_1_unit_crestfallen_name","Unit","1","1","2","ModifierProvoke|ModifierToken|ModifierBandingProvoke","cards.faction_1_unit_crestfallen_desc"
"44","cards.faction_1_unit_oakenheart_name","Unit","5","4","5","PlayerModifierMechazorBuildProgress|ModifierOpeningGambitApplyMechazorPlayerModifiers","cards.faction_1_unit_oakenheart_desc"
"45","cards.faction_1_unit_prominence_name","Unit","6","4","7","ModifierSynergizeSummonMinionNearGeneral","cards.faction_1_unit_prominence_desc"
"46","cards.building_name","Unit","3","0","10","ModifierToken|ModifierPortal",""
"47","cards.faction_1_unit_vigilator_name","Unit","3","3","4","ModifierTokenCreator|ModifierBuild","cards.faction_1_unit_vigilator_desc"
"48","cards.faction_1_unit_surgeforger_name","Unit","3","2","2","","cards.faction_1_unit_surgeforger_desc"
"49","cards.faction_1_unit_ironcliffe_monument_name","Unit","4","0","10","ModifierTokenCreator|ModifierBuild|ModifierPortal","cards.faction_1_unit_ironcliffe_monument_desc"
"50","cards.faction_1_unit_decorated_enlistee_name","Unit","3","1","5","","cards.faction_1_unit_decorated_enlistee_desc"
"51","cards.faction_1_unit_brome_name","Unit","0","2","25","ModifierBanding|ModifierProvoke","cards.faction_1_unit_brome_desc"
"52","cards.building_name","Unit","4","0","10","ModifierToken|ModifierPortal",""
